iter	Passed	Remaining
412	2996	4258
413	3003	4251
414	3011	4245
415	3019	4238
416	3025	4230
417	3032	4222
418	3039	4214
419	3045	4205
420	3052	4198
421	3062	4194
422	3071	4189
423	3081	4185
424	3088	4178
425	3097	4174
426	3107	4170
427	3115	4164
428	3124	4159
429	3132	4152
430	3142	4148
431	3149	4141
432	3156	4133
433	3163	4125
434	3169	4117
435	3176	4109
436	3182	4100
437	3188	4091
438	3195	4083
439	3201	4074
440	3207	4066
441	3214	4057
442	3221	4049
443	3227	4041
444	3233	4032
445	3240	4024
446	3246	4016
447	3253	4008
448	3260	4000
449	3266	3992
450	3273	3984
451	3279	3976
452	3286	3968
453	3293	3961
454	3300	3953
455	3307	3945
456	3313	3937
457	3320	3929
458	3327	3921
459	3333	3913
460	3339	3905
461	3346	3897
462	3354	3890
463	3361	3882
464	3368	3875
465	3374	3867
466	3381	3859
467	3388	3851
468	3394	3843
469	3402	3836
470	3409	3829
471	3417	3823
472	3424	3815
473	3431	3807
474	3438	3800
475	3444	3792
476	3451	3784
477	3458	3776
478	3465	3769
479	3472	3762
480	3479	3754
481	3486	3747
482	3493	3739
483	3500	3731
484	3506	3723
485	3514	3716
486	3521	3709
487	3528	3702
488	3536	3695
489	3542	3687
490	3549	3679
491	3556	3671
492	3563	3664
493	3569	3656
494	3576	3648
495	3582	3640
496	3589	3632
497	3596	3624
498	3602	3617
499	3609	3609
500	3615	3601
501	3622	3593
502	3630	3586
503	3637	3579
504	3642	3570
505	3650	3564
506	3657	3556
507	3666	3550
508	3672	3543
509	3680	3535
510	3686	3527
511	3693	3519
512	3700	3512
513	3706	3504
514	3713	3497
515	3720	3489
516	3727	3482
517	3734	3475
518	3742	3468
519	3748	3460
520	3755	3452
521	3762	3445
522	3768	3437
523	3775	3429
524	3782	3422
525	3788	3414
526	3796	3407
527	3803	3399
528	3809	3392
529	3816	3384
530	3822	3376
531	3829	3368
532	3835	3360
533	3842	3353
534	3848	3345
535	3855	3337
536	3861	3329
537	3868	3321
538	3874	3313
539	3881	3306
540	3887	3298
541	3893	3290
542	3899	3282
543	3906	3274
544	3912	3266
545	3919	3259
546	3927	3252
547	3933	3244
548	3939	3236
549	3945	3228
550	3951	3220
551	3958	3212
552	3964	3204
553	3970	3196
554	3976	3188
555	3983	3181
556	3990	3173
557	3997	3166
558	4004	3158
559	4010	3151
560	4016	3143
561	4023	3135
562	4029	3127
563	4035	3119
564	4042	3112
565	4049	3105
566	4057	3098
567	4063	3090
568	4070	3083
569	4077	3075
570	4083	3068
571	4090	3060
572	4096	3052
573	4103	3045
574	4111	3038
575	4117	3030
576	4123	3023
577	4129	3015
578	4136	3007
579	4142	2999
580	4148	2991
581	4155	2984
582	4161	2976
583	4168	2969
584	4176	2962
585	4184	2956
586	4190	2948
587	4196	2940
588	4203	2933
589	4209	2925
590	4216	2917
591	4222	2910
592	4228	2902
593	4234	2894
594	4241	2886
595	4247	2879
596	4254	2871
597	4260	2864
598	4267	2856
599	4274	2849
600	4281	2842
601	4288	2835
602	4295	2828
603	4302	2821
604	4311	2814
605	4318	2807
606	4326	2800
607	4333	2793
608	4342	2787
609	4350	2781
610	4357	2774
611	4364	2767
612	4371	2759
613	4380	2753
614	4388	2747
615	4396	2740
616	4407	2736
617	4416	2730
618	4428	2725
619	4464	2736
620	4478	2733
621	4488	2727
622	4497	2721
623	4504	2714
624	4513	2708
625	4522	2702
626	4531	2695
627	4539	2688
628	4547	2682
629	4554	2674
630	4562	2668
631	4570	2661
632	4576	2653
633	4583	2645
634	4590	2638
635	4596	2630
636	4603	2623
637	4610	2615
638	4616	2608
639	4623	2600
640	4630	2593
641	4639	2586
642	4646	2579
643	4653	2572
644	4662	2566
645	4670	2559
646	4677	2551
647	4684	2544
648	4693	2538
649	4702	2531
650	4711	2525
651	4720	2519
652	4729	2513
653	4738	2506
654	4745	2499
655	4753	2492
656	4761	2485
657	4770	2479
658	4781	2474
659	4790	2468
660	4800	2461
661	4808	2454
662	4817	2448
663	4826	2442
664	4836	2436
665	4845	2429
666	4854	2423
667	4863	2417
668	4872	2410
669	4880	2403
670	4888	2397
671	4897	2390
672	4905	2383
673	4912	2376
674	4919	2368
675	4928	2362
676	4938	2356
677	4947	2349
678	4955	2342
679	4963	2335
680	4971	2328
681	4977	2321
682	4985	2313
683	4993	2306
684	5000	2299
685	5007	2292
686	5015	2284
687	5021	2277
688	5029	2270
689	5037	2263
690	5045	2256
691	5051	2248
692	5059	2241
693	5066	2234
694	5074	2226
695	5081	2219
696	5090	2212
697	5097	2205
698	5104	2198
699	5112	2191
700	5120	2183
701	5128	2176
702	5134	2169
703	5142	2162
704	5149	2154
705	5157	2147
706	5164	2140
707	5171	2133
708	5179	2125
709	5186	2118
710	5193	2111
711	5199	2103
712	5207	2095
713	5215	2088
714	5222	2081
715	5229	2074
716	5236	2066
717	5243	2059
718	5250	2052
719	5257	2044
720	5264	2037
721	5271	2029
722	5277	2022
723	5285	2014
724	5292	2007
725	5299	2000
726	5306	1992
727	5313	1985
728	5321	1978
729	5329	1971
730	5336	1963
731	5343	1956
732	5351	1949
733	5358	1941
734	5365	1934
735	5373	1927
736	5380	1919
737	5387	1912
738	5394	1905
739	5402	1898
740	5409	1890
741	5417	1883
742	5424	1876
743	5432	1869
744	5439	1861
745	5446	1854
746	5454	1847
747	5461	1840
748	5470	1833
749	5479	1826
750	5487	1819
751	5494	1812
752	5502	1804
753	5509	1797
754	5517	1790
755	5524	1783
756	5531	1775
757	5539	1768
758	5545	1760
759	5552	1753
760	5559	1746
761	5567	1738
762	5575	1731
763	5582	1724
764	5589	1716
765	5596	1709
766	5604	1702
767	5612	1695
768	5620	1688
769	5627	1681
770	5634	1673
771	5641	1666
772	5649	1659
773	5657	1651
774	5665	1644
775	5672	1637
776	5680	1630
777	5687	1623
778	5695	1615
779	5702	1608
780	5710	1601
781	5717	1593
782	5725	1586
783	5733	1579
784	5740	1572
785	5748	1565
786	5756	1557
787	5765	1551
788	5773	1543
789	5782	1536
790	5790	1530
791	5798	1522
792	5806	1515
793	5814	1508
794	5820	1500
795	5828	1493
796	5835	1486
797	5841	1478
798	5848	1471
799	5856	1464
800	5863	1456
801	5871	1449
802	5879	1442
803	5885	1434
804	5892	1427
805	5899	1419
806	5907	1412
807	5913	1405
808	5921	1398
809	5928	1390
810	5935	1383
811	5944	1376
812	5952	1369
813	5961	1362
814	5969	1354
815	5976	1347
816	5983	1340
817	5990	1332
818	5998	1325
819	6006	1318
820	6013	1311
821	6021	1303
822	6029	1296
823	6036	1289
824	6043	1282
825	6051	1274
826	6059	1267
827	6067	1260
828	6074	1253
829	6081	1245
830	6088	1238
831	6096	1230
832	6104	1223
833	6112	1216
834	6120	1209
835	6126	1201
836	6133	1194
837	6140	1187
838	6148	1179
839	6155	1172
840	6161	1164
841	6168	1157
842	6174	1149
843	6181	1142
844	6189	1135
845	6196	1127
846	6203	1120
847	6210	1113
848	6217	1105
849	6224	1098
850	6231	1091
851	6238	1083
852	6245	1076
853	6251	1068
854	6258	1061
855	6265	1053
856	6273	1046
857	6280	1039
858	6286	1031
859	6293	1024
860	6299	1017
861	6306	1009
862	6312	1002
863	6318	994
864	6325	987
865	6331	979
866	6338	972
867	6344	964
868	6351	957
869	6358	950
870	6364	942
871	6371	935
872	6377	927
873	6384	920
874	6390	912
875	6397	905
876	6403	898
877	6410	890
878	6417	883
879	6423	875
880	6430	868
881	6436	861
882	6443	853
883	6449	846
884	6456	838
885	6463	831
886	6471	824
887	6479	817
888	6487	810
889	6494	802
890	6501	795
891	6508	788
892	6514	780
893	6522	773
894	6529	765
895	6536	758
896	6542	751
897	6549	743
898	6556	736
899	6562	729
900	6569	721
901	6575	714
902	6581	706
903	6587	699
904	6593	692
905	6599	684
906	6606	677
907	6612	669
908	6619	662
909	6625	655
910	6631	647
911	6637	640
912	6644	633
913	6651	625
914	6658	618
915	6666	611
916	6673	604
917	6680	596
918	6686	589
919	6692	581
920	6699	574
921	6705	567
922	6711	559
923	6718	552
924	6725	545
925	6731	537
926	6737	530
927	6743	523
928	6753	516
929	6762	508
930	6770	501
931	6778	494
932	6785	487
933	6792	479
934	6799	472
935	6806	465
936	6813	458
937	6819	450
938	6826	443
939	6833	436
940	6840	428
941	6848	421
942	6856	414
943	6864	407
944	6871	399
945	6878	392
946	6884	385
947	6890	377
948	6896	370
949	6904	363
950	6912	356
951	6918	348
952	6926	341
953	6933	334
954	6939	326
955	6945	319
956	6952	312
957	6957	305
958	6964	297
959	6971	290
960	6977	283
961	6984	275
962	6990	268
963	6996	261
964	7002	253
965	7009	246
966	7016	239
967	7024	232
968	7031	224
969	7038	217
970	7045	210
971	7052	203
972	7060	195
973	7067	188
974	7074	181
975	7080	174
976	7086	166
977	7092	159
978	7099	152
979	7105	145
980	7111	137
981	7118	130
982	7124	123
983	7131	115
984	7137	108
985	7144	101
986	7150	94
987	7157	86
988	7163	79
989	7169	72
990	7176	65
991	7183	57
992	7189	50
993	7196	43
994	7202	36
995	7209	28
996	7215	21
997	7221	14
998	7227	7
999	7234	0
